spread_rank,canonical_id,identifier_type,hyg_id,hip,hd,hr,gl,bf,proper_name,display_type,spectral_type,distance_pc,distance_ly,apparent_magnitude,absolute_magnitude,luminosity_lsol,color_index,constellation_abbr,constellation_name,ra_hours,dec_degrees,x_pc,y_pc,z_pc,nearest_selected_neighbor_pc,nearest_selected_neighbor_ly,source_catalog,source_url
2811,HIP 65145,HIP,64940,65145,,,,,,Orange Giant,K2III,425.5319,1387.897824,9.95,1.805,16.519618,1.069,CVn,Canes Venatici,13.349545,40.905068,-301.749808,-111.280445,278.641552,49.93834,162.876893,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2812,HIP 66576,HIP,66366,66576,118566,,,,,Orange Giant,K4III,480.7692,1568.057592,7.39,-1.02,222.843515,1.468,Cen,Centaurus,13.647139,-49.495021,-283.680481,-130.520804,-365.552633,82.059447,267.641809,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2813,HIP 64448,HIP,64243,64448,,,,,,Orange Star,K5,746.2687,2434.000141,9.23,-0.134,98.537151,1.318,Hya,Hydra,13.209506,-27.568048,-628.650025,-205.991733,-345.374468,83.811477,273.35616,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2814,HIP 65087,HIP,64882,65087,115852,,,,,Orange Giant,K4/K5III,423.7288,1382.016905,7.55,-0.585,149.279441,1.484,Cen,Centaurus,13.34066,-41.576055,-297.656364,-108.984976,-281.192212,68.87045,224.625105,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2815,HIP 65447,HIP,65242,65447,116610,,,,,Orange Star,K2,628.9308,2051.29554,7.96,-1.033,225.527757,1.499,Vir,Virgo,13.413405,-6.840335,-582.18912,-225.828791,-74.907521,37.185157,121.281621,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2816,HIP 63937,HIP,63735,63937,113892,,,,,Red Giant,M1III,819.6721,2673.409734,7.29,-2.278,709.904616,1.654,CVn,Canes Venatici,13.103751,40.922516,-593.66319,-176.485349,536.916014,54.37958,177.362264,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2817,HIP 65620,HIP,65414,65620,117098,,,,,Orange Star,K0,467.2897,1524.093394,8.39,0.042,83.791507,1.165,CVn,Canes Venatici,13.453852,48.001647,-290.29191,-116.154188,347.272912,67.40799,219.855202,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2818,HIP 63803,HIP,63600,63803,113564,,,,,Orange Star,K2,680.2721,2218.74827,7.21,-1.953,526.259562,1.364,Vir,Virgo,13.077369,-0.728307,-653.338777,-189.324597,-8.646945,58.164014,189.705422,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2819,HIP 65850,HIP,65644,65850,117321,,,,,Yellow Subgiant,G8IV,645.1613,2104.23229,8.97,-0.078,93.583654,0.964,Hya,Hydra,13.498675,-26.05878,-535.535963,-221.608584,-283.414841,91.23306,297.5621,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2820,HIP 66126,HIP,65918,66126,117739,,,,,Orange Giant,K3/K4III,549.4505,1792.065773,8.34,-0.36,121.338885,1.541,Cen,Centaurus,13.55583,-54.431402,-293.455421,-126.609236,-446.933853,60.698182,197.970764,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
